Brnd_Name,Tot_Drug_Cst,Tot_Clms,Cost_Per_Claim
Siklos,219821.8,193,1138.9730569948185
Taltz Autoinjector (2 Pack),6144925.94,461,13329.557353579177
Tri-Lo-Estarylla,15262.710000000005,802,19.030810473815468
Trifluridine,159565.26999999993,990,161.17704040404033
Ultomiris,109178198.54000002,2030,53782.36381280789
Ultra Comfort,3415.03,263,12.98490494296578
Velcade,405441.49,101,4014.272178217822
Vyepti,3716731.88,869,4277.02172612198
Xenazine,1584653.0299999998,58,27321.60396551724
Zithromax,948.5699999999999,41,23.135853658536583
Actimmune,17822197.6,280,63650.70571428572
Amphotericin B Liposome,785327.92,455,1725.9954285714286
Cardura Xl,89468.53000000001,404,221.4567574257426
Duexis,28901.78,12,2408.4816666666666
Flovent Diskus,34599.88,153,226.1430065359477
Layolis Fe,5960.3,69,86.38115942028986
Norliqva,201729.28,272,741.6517647058823
Pfizerpen,37913.57,119,318.6014285714286
Ponvory,2349789.79,254,9251.140905511811
Prilosec,1027565.2499999999,1093,940.132891125343
Roxicodone,1046863.0900000001,887,1180.2289627959415
Sabril,6970848.010000001,211,33037.19436018958
Sodium Acetate,36914.44,413,89.38121065375303
Sodium Phosphate,30517.31,233,130.97557939914162
Subvenite,5968.889999999999,392,15.22676020408163
Sunlenca,2704526.1699999995,176,15366.625965909088
Teglutik,1415315.9,357,3964.470308123249
Trivora-28,5711.749999999999,303,18.850660066006597
Aciphex,801451.9099999998,595,1346.9779999999996
Albendazole,1623429.43,857,1894.3167211201867
Alomide,4661.07,23,202.65521739130435
Avsola,1419989.35,475,2989.451263157895
Bepreve,690575.5500000003,1723,400.79834590829967
Blisovi Fe,12262.499999999998,812,15.101600985221673
Bupivacaine Hcl,4182.2,172,24.315116279069766
Cefepime-Dextrose,185057.5,781,236.949423815621
Cellcept,565963.75,384,1473.8639322916667
Clindamycin Phos-Benzoyl Perox,65225.58000000001,1541,42.32678780012979
Easy Comfort Insulin Syringe,53014.85,916,57.876473799126636
Edecrin,117928.86,76,1551.6955263157895
Exforge Hct,88677.23,242,366.43483471074376
Fosaprepitant Dimeglumine,424342.31,2030,209.03562068965516
Jevtana,2906917.9799999995,197,14755.928832487307
Marlissa,4034.5599999999995,280,14.409142857142855
Methylergonovine Maleate,149064.06,92,1620.2615217391303
Ozurdex,1150149.85,691,1664.4715629522432
Periogard,3030.8400000000006,444,6.826216216216218
Potassium Citrate-Citric Acid,16675.69,188,88.70047872340425
Pyrimethamine,3512262.51,224,15679.743348214284
Releuko,15328.0,34,450.8235294117647
Rolvedon,1139501.71,250,4558.00684
Sronyx,2080.8999999999996,177,11.756497175141241
Tikosyn,64590.29,65,993.6967692307693
Trimipramine Maleate,58676.659999999996,225,260.78515555555555
Tropicamide,4510.17,533,8.461857410881802
Udenyca Onbody,479664.52,107,4482.845981308411
Zomig,24025.51,12,2002.1258333333333
Akynzeo,4699780.0600000005,4352,1079.9126976102943
Carnitor,130631.27,505,258.67578217821784
Cayston,16086667.830000002,1354,11880.847732644019
Claravis,33267.08,320,103.959625
Cyltezo(Cf),1506744.5199999996,200,7533.722599999997
Cystaran,1347821.6,157,8584.850955414013
Deblitane,12534.03,723,17.336141078838175
Desogestr-Eth Estrad Eth Estra,3686.5099999999998,196,18.808724489795917
Dextrose 5%-0.9% Nacl,65986.84000000001,1904,34.65695378151261
Elyxyb,470728.0300000001,483,974.5921946169774
Intelence,1108176.91,762,1454.3004068241469
K-Phos No.2,4400.320000000001,56,78.57714285714287
Kalbitor,15389380.64,189,81425.2943915344
Keveyis,13153149.770000003,444,29624.2111936937
Mavyret,16103254.669999996,1239,12996.977134786115
Naproxen Sodium Cr,441526.01,706,625.3909490084986
Nuvessa,4757.25,25,190.29
Ruconest,31789537.32,292,108868.27849315069
Spinosad,88612.03,149,594.711610738255
Tazorac,435372.98000000004,212,2053.646132075472
Tracleer,10462801.469999995,798,13111.280037593979
Tyvaso Refill Kit,4588529.45,224,20484.506473214286
Webcol,1244.05,531,2.3428436911487758
Zilbrysq,16830440.79,445,37821.215258426964
Alogliptin-Pioglitazone,56801.38,311,182.64109324758843
Daybue,21320128.330000006,368,57935.131331521756
Deferiprone,2317913.41,342,6777.524590643276
Easy Touch Insulin Syringe,6415.940000000002,273,23.50161172161173
Evamist,33642.54,194,173.41515463917526
Firvanq,41801.119999999995,249,167.87598393574297
Kaletra,101745.61000000002,108,942.0889814814816
Ketodan,9768.28,23,424.7078260869566
Nicotrol,38939.060000000005,78,499.218717948718
Portia,13872.46,902,15.379667405764966
Prenatal Plus,177.39,50,3.5477999999999996
Rectiv,436778.36999999994,642,680.3401401869158
Sodium Phenylbutyrate,1337540.37,223,5997.938878923767
Tosymra,63603.479999999996,78,815.4292307692307
Yuflyma(Cf) Autoinjector,1205732.67,168,7176.980178571428
Aveed,372872.87,199,1873.733015075377
Azilect,303788.95,240,1265.7872916666668
Balversa,2122086.32,131,16199.132213740457
Baraclude,975277.02,659,1479.9347799696511
Easy-Touch Insulin Syringe,16539.780000000002,677,24.430989660265883
Enjaymo,888033.44,39,22770.088205128202
Enpresse,5661.599999999999,302,18.747019867549668
Jinteli,11907.940000000002,259,45.976602316602325
Librax,412164.66,82,5026.398292682927
Lioresal Intrathecal,207342.63000000003,176,1178.083125
Microgestin Fe,5548.88,411,13.500924574209247
Milrinone Lactate,116749.82000000002,697,167.5033285509326
Namenda Xr,84105.98000000001,194,433.5359793814433
Norethin-Eth Estra-Ferrous Fum,10070.69,163,61.78337423312884
Orkambi,260054.76,12,21671.23
Rabavert,130929.31,291,449.9289003436426
Reyataz,307573.24000000005,223,1379.2521973094172
Symfi,134236.22,46,2918.178695652174
Trientine Hcl,2093648.6100000003,352,5947.865369318183
Trumenba,20874.08,106,196.92528301886793
Venlafaxine Besylate Er,80342.01,573,140.21293193717275
Zetonna,21737.5,83,261.8975903614458
Afinitor,8094941.719999999,433,18695.015519630484
Altoprev,97354.05,96,1014.1046875000001
Aptivus,640393.99,318,2013.8175786163522
Arava,201672.5,126,1600.5753968253969
Aromasin,239304.93999999997,211,1134.14663507109
Cardizem La,62443.169999999984,617,101.20448946515394
Decitabine,140617.96000000002,148,950.1213513513514
Fosamax,38686.2,186,207.99032258064514
Hyftor,584548.9500000001,145,4031.372068965518
Javygtor,1700977.85,164,10371.816158536585
Kanjinti,894306.4500000002,201,4449.285820895523
Malathion,52221.83,170,307.18723529411767
Nexviazyme,25738337.959999997,488,52742.49581967213
Ogsiveo,6089869.990000002,229,26593.318733624463
Phenoxybenzamine Hcl,949135.46,167,5683.445868263473
Pioglitazone-Glimepiride,244534.45999999996,825,296.405406060606
Relafen Ds,759353.3200000001,199,3815.845829145729
Rezlidhia,2219382.5700000003,76,29202.40223684211
Ridaura,462574.11999999994,349,1325.4272779369626
Twyneo,6083.74,13,467.97999999999996
Uceris,73934.95,61,1212.0483606557377
Ulticare,8287.460000000001,290,28.57744827586207
Urocit-K,4603.5599999999995,33,139.50181818181818
Vimizim,12228686.760000002,124,98618.44161290323
Xelstrym,29236.440000000002,60,487.27400000000006
Zosyn,199684.99000000002,802,248.98377805486288
Doxy 100,72966.04000000001,312,233.86551282051283
Easy Glide Insulin Syringe,7317.94,73,100.24575342465752
Marplan,87347.09,152,574.6519078947368
Natesto,123752.27000000002,181,683.7141988950277
Opsynvi,13312185.290000003,1033,12886.917028073574
Oxacillin Sodium,591971.15,973,608.3978931140801
Pulmicort,115898.38,183,633.3244808743169
Vincristine Sulfate,1254.69,85,14.761058823529412
Azesco,179126.45,69,2596.035507246377
Aztreonam,492532.33,803,613.365292652553
Detrol La,87694.96,173,506.90728323699426
Dextrose In Lactated Ringers,42429.92,921,46.06940282301846
Epivir,41540.86,113,367.6182300884956
Fabhalta,11480568.719999999,255,45021.83811764706
Gentamicin Sulfate In Ns,8257.17,417,19.80136690647482
Klor-Con-Ef,26091.9,433,60.25842956120093
Lumryz,7502879.539999999,524,14318.47240458015
Mimvey,19580.719999999998,239,81.92769874476987
Pamidronate Disodium,3982.93,107,37.223644859813085
Parnate,230131.69000000003,110,2092.106272727273
Penicillin G Potassium,149458.32,620,241.0618064516129
Prochlorperazine,18403.47,210,87.63557142857144
Syeda,6512.63,289,22.535051903114187
Symlinpen 120,320333.75,173,1851.6401734104047
Tecvayli,398902.33999999997,28,14246.512142857142
Tri-Mili,8944.929999999998,609,14.68789819376026
Ultra Flo Pen Needle,9045.829999999998,319,28.356833855799366
Viltepso,1636264.43,17,96250.8488235294
Zenatane,40483.46,268,151.05768656716418
Alimta,277041.32999999996,47,5894.496382978722
Aranelle,4342.21,140,31.015785714285716
Azurette,1651.37,73,22.621506849315068
Bavencio,728443.5599999999,71,10259.768450704225
Bd Insulin Syringe Ult-Fine Ii,3046.3,135,22.565185185185186
Berinert,26371125.44,304,86747.12315789475
Cobenfy,353406.17,256,1380.4928515625
Coreg,37488.8,36,1041.3555555555556
Cotellic,2875136.96,604,4760.160529801325
Cytarabine,325.31,24,13.554583333333333
Eprontia,360253.8199999999,579,622.2000345423141
Eraxis,94770.9,142,667.4007042253521
Ferriprox,1976171.1099999999,143,13819.37839160839
Hailey 24 Fe,8611.22,310,27.77812903225806
Inspra,14756.96,23,641.6069565217391
Levofloxacin-D5w,31415.550000000007,1011,31.073738872403567
Maxalt,317711.33999999997,384,827.3732812499999
Nexavar,1151087.0999999999,86,13384.733720930231
Nitazoxanide,255919.72,154,1661.8163636363636
Phentermine Hcl,2190.7000000000003,378,5.795502645502646
